id,number_of_points,year,month,is_operational,municipality,region,country,latitude,longitude,rejection_reason,fetch_timestamp
484579,,2026,4,True,Kemijärvi,Lapland,Finland,66.713488,27.434654,,2026-06-30 07:14:05.354549+00:00
484578,,2026,4,True,Kemijärvi,Lapland,Finland,66.712965,27.432539,,2026-06-30 07:14:05.354549+00:00
484577,,2026,4,True,Kemijärvi,Lapland,Finland,66.7095871,27.4260559,,2026-06-30 07:14:05.354549+00:00
484576,,2026,4,True,Rovaniemi,Lapland,Finland,66.6644974,25.3272991,,2026-06-30 07:14:05.354549+00:00
484575,,2026,4,True,Rovaniemi,Lapland,Finland,66.6445007,25.4666004,,2026-06-30 07:14:05.354549+00:00
484574,,2026,4,True,Rovaniemi,Lapland,Finland,66.599236,25.132256,,2026-06-30 07:14:05.354549+00:00
484573,,2026,4,True,Kemijärvi,Lapland,Finland,66.5589981,28.0095997,,2026-06-30 07:14:05.354549+00:00
484572,,2026,4,True,Rovaniemi,Lapland,Finland,66.544609,25.84435,,2026-06-30 07:14:05.354549+00:00
484571,,2026,4,True,Rovaniemi,Lapland,Finland,66.544207,25.780417,,2026-06-30 07:14:05.354549+00:00
484570,,2026,4,True,Rovaniemi,Lapland,Finland,66.5408936,25.8484707,,2026-06-30 07:14:05.354549+00:00
484569,,2026,4,True,Rovaniemi,Lapland,Finland,66.540158,25.800705,,2026-06-30 07:14:05.354549+00:00
484568,,2026,4,True,Rovaniemi,Lapland,Finland,66.531503,25.832484,,2026-06-30 07:14:05.354549+00:00
484567,,2026,4,True,Rovaniemi,Lapland,Finland,66.530708,25.675349,,2026-06-30 07:14:05.354549+00:00
484566,,2026,4,True,Rovaniemi,Lapland,Finland,66.529803,25.669277,,2026-06-30 07:14:05.354549+00:00
484565,,2026,4,True,Rovaniemi,Lapland,Finland,66.520716,25.700562,,2026-06-30 07:14:05.354549+00:00
484564,,2026,4,True,Rovaniemi,Lapland,Finland,66.518917,25.756245,,2026-06-30 07:14:05.354549+00:00
