country,year,month,region,number_of_new_registrations,driving_power,fetch_timestamp
Sweden,2016,5,Stockholm,5724,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,6,Stockholm,5856,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,7,Stockholm,3855,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,8,Stockholm,3722,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,9,Stockholm,5034,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,10,Stockholm,5936,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,11,Stockholm,4981,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2016,12,Stockholm,6012,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,1,Stockholm,4684,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,2,Stockholm,5505,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,3,Stockholm,7145,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,4,Stockholm,5575,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,5,Stockholm,6226,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,6,Stockholm,6685,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,7,Stockholm,3759,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,8,Stockholm,4677,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,9,Stockholm,4828,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,10,Stockholm,5007,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,11,Stockholm,4800,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2017,12,Stockholm,5631,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,1,Stockholm,3284,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,2,Stockholm,4141,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,3,Stockholm,5786,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,4,Stockholm,4984,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,5,Stockholm,4833,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,6,Stockholm,7600,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,7,Stockholm,1184,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,8,Stockholm,2722,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,9,Stockholm,2259,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,10,Stockholm,2973,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,11,Stockholm,3210,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2018,12,Stockholm,2889,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,1,Stockholm,3223,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,2,Stockholm,3237,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,3,Stockholm,4445,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,4,Stockholm,4473,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,5,Stockholm,4929,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,6,Stockholm,4427,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,7,Stockholm,2668,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,8,Stockholm,3007,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,9,Stockholm,2746,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,10,Stockholm,3490,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,11,Stockholm,3331,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2019,12,Stockholm,4642,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,1,Stockholm,1608,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,2,Stockholm,2486,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,3,Stockholm,2725,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,4,Stockholm,1827,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,5,Stockholm,1651,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,6,Stockholm,2631,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,7,Stockholm,1774,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,8,Stockholm,1729,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,9,Stockholm,1898,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,10,Stockholm,1714,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,11,Stockholm,1637,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2020,12,Stockholm,2136,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,1,Stockholm,1772,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,2,Stockholm,1604,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,3,Stockholm,3886,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,4,Stockholm,1160,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,5,Stockholm,1573,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,6,Stockholm,2151,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,7,Stockholm,713,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,8,Stockholm,975,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,9,Stockholm,1136,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,10,Stockholm,755,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,11,Stockholm,789,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2021,12,Stockholm,998,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,1,Stockholm,819,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,2,Stockholm,949,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,3,Stockholm,1119,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,4,Stockholm,923,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,5,Stockholm,1253,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,6,Stockholm,1118,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,7,Stockholm,598,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,8,Stockholm,740,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,9,Stockholm,734,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,10,Stockholm,814,diesel,2026-06-30 07:14:11.597982+00:00
Sweden,2022,11,Stockholm,798,diesel,2026-06-30 07:14:11.597982+00:00
